pomiar;3,700000;Uout->No load
-1,394900;0,407719
-1,295400;0,555868
-1,196500;0,705107
-1,095800;0,854753
-0,997500;1,004038
-0,896500;1,155479
-0,797600;1,305387
-0,696700;1,455460
-0,598600;1,605519
-0,498900;1,755702
-0,397900;1,907035
-0,299400;2,057202
-0,199400;2,207403
-0,099500;2,357672
-0,000100;2,509669
0,099900;2,661150
0,199400;2,811252
0,298500;2,961730
0,398200;3,112082
0,498700;3,263494
0,597900;3,413183
0,697400;3,563457
0,796700;3,713554
0,896200;3,864020
0,996800;4,015074
1,095800;4,165227
1,195800;4,315332
1,294200;4,465745
1,394200;4,616072

pomiar;3,700000;Uout->5K
-1,395000;0,411137
-1,296000;0,557587
-1,195000;0,706334
-1,096300;0,855820
-0,997400;1,005462
-0,896900;1,156190
-0,797000;1,306063
-0,696700;1,456082
-0,598000;1,606166
-0,498900;1,756091
-0,397500;1,907095
-0,298900;2,057575
-0,198500;2,207764
-0,100000;2,357885
0,000300;2,509710
0,099900;2,661295
0,199100;2,811306
0,298100;2,961548
0,397900;3,111885
0,498700;3,263114
0,598200;3,413606
0,698100;3,563436
0,797100;3,713851
0,896700;3,863830
0,996700;4,015154
1,095900;4,165378
1,195300;4,315376
1,295300;4,466316
1,395100;4,616243

pomiar;7,400000;Uout->No load
-1,393700;0,413101
-1,294000;0,559956
-1,195600;0,707990
-1,094500;0,857587
-0,995800;1,006237
-0,896300;1,157645
-0,796900;1,306880
-0,697100;1,456300
-0,597800;1,606856
-0,498000;1,756022
-0,398200;1,907001
-0,299200;2,057701
-0,198800;2,207466
-0,099000;2,357776
-0,000300;2,509947
0,099500;2,661562
0,199300;2,811570
0,298300;2,961412
0,398100;3,111895
0,498300;3,262844
0,597400;3,412671
0,697300;3,563229
0,796100;3,712680
0,895800;3,862685
0,995400;4,013969
1,095200;4,164670
1,195100;4,314785
1,294200;4,463954
1,393300;4,615057

pomiar;7,400000;Uout->5K
-1,392800;0,412804
-1,293200;0,560029
-1,195600;0,707405
-1,094700;0,857228
-0,995400;1,005931
-0,895000;1,157655
-0,796300;1,307477
-0,696400;1,457059
-0,598100;1,606998
-0,498100;1,756373
-0,398200;1,907695
-0,297600;2,057940
-0,199700;2,207199
-0,100100;2,357657
-0,000400;2,509907
0,099700;2,661152
0,199200;2,811168
0,298900;2,961224
0,397800;3,111235
0,498300;3,262907
0,597000;3,412395
0,697000;3,562534
0,796600;3,713042
0,897100;3,863803
0,995500;4,014271
1,094900;4,163921
1,194400;4,313931
1,294100;4,463851
1,393200;4,614936

pomiar;12,000000;Uout->No load
-1,392700;0,413439
-1,293900;0,560136
-1,194900;0,708685
-1,095600;0,856867
-0,995700;1,007132
-0,895500;1,157647
-0,796500;1,307597
-0,696600;1,457400
-0,597600;1,606802
-0,498400;1,756844
-0,397700;1,908141
-0,297600;2,057540
-0,199200;2,207911
-0,100200;2,357974
-0,000500;2,509932
0,099200;2,661385
0,198700;2,811938
0,298400;2,961469
0,396400;3,111451
0,497600;3,262876
0,597300;3,412941
0,696300;3,562742
0,796600;3,712655
0,895900;3,862666
0,996000;4,013816
1,095100;4,163827
1,194900;4,314071
1,293500;4,463842
1,392600;4,613851

pomiar;12,000000;Uout->5K
-1,394000;0,412506
-1,294500;0,560009
-1,195200;0,708757
-1,095600;0,857836
-0,996200;1,006482
-0,895700;1,157513
-0,796900;1,306558
-0,696600;1,457256
-0,597600;1,606958
-0,498200;1,757045
-0,398300;1,907193
-0,297400;2,058095
-0,199300;2,207794
-0,100200;2,358003
-0,000700;2,509858
0,099500;2,661650
0,198700;2,811306
0,298300;2,961249
0,398200;3,111337
0,497000;3,263237
0,597700;3,412547
0,697100;3,563162
0,796100;3,712805
0,894700;3,863034
0,996000;4,013778
1,095000;4,163771
1,194700;4,313802
1,293800;4,464266
1,393400;4,613813

pomiar;18,000000;Uout->No load
-1,392500;0,413266
-1,294800;0,559865
-1,194500;0,708465
-1,095100;0,857628
-0,996800;1,006482
-0,895700;1,157326
-0,797000;1,306725
-0,696900;1,457112
-0,597200;1,607043
-0,498200;1,756298
-0,398300;1,907461
-0,299100;2,057525
-0,199600;2,207821
-0,099900;2,357852
-0,000100;2,510071
0,099800;2,661746
0,198700;2,811844
0,298500;2,961898
0,398200;3,112682
0,497500;3,262936
0,597700;3,413244
0,697000;3,562994
0,796400;3,713597
0,895500;3,863743
0,995400;4,015264
1,095100;4,164269
1,194100;4,314589
1,293400;4,464960
1,393700;4,614936

pomiar;18,000000;Uout->5K
-1,393700;0,413235
-1,293800;0,559066
-1,194400;0,708595
-1,095200;0,857647
-0,994900;1,006495
-0,895900;1,157215
-0,795400;1,307294
-0,696300;1,456160
-0,597700;1,606730
-0,497200;1,756877
-0,398100;1,907806
-0,298500;2,057515
-0,198300;2,207481
-0,098600;2,357836
-0,000400;2,509999
0,099500;2,661805
0,199700;2,812650
0,298400;2,962488
0,397700;3,111780
0,497700;3,262908
0,596800;3,413611
0,696700;3,563625
0,796100;3,713072
0,895700;3,863045
0,995400;4,014472
1,095300;4,164201
1,194800;4,314206
1,294000;4,464226
1,393700;4,614610

